player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"MG",b-R5PpbV7M,2022-08-07T04:16:15.158Z,2022-08-07T04:34:39.618Z,420,349,0,-71
"fan c aka dan",c9rljbVYYw,2022-08-07T04:14:47.673Z,2022-08-07T04:33:37.080Z,250,39,0,-211
"Rainman",mTNw7ztnhU,2022-08-07T04:07:26.583Z,2022-08-07T04:33:37.077Z,300,333,0,33
"fan c aka dan",c9rljbVYYw,2022-08-07T03:59:45.462Z,2022-08-07T04:13:42.773Z,250,0,0,-250
"iThrowMoney",PR0_aK9iy7,2022-08-07T03:59:45.457Z,2022-08-07T04:13:42.779Z,400,400,0,0
"Diggles",rFk31o2_aE,2022-08-07T03:59:45.459Z,2022-08-07T05:10:05.027Z,300,508,0,208
"Marco",co2l5g2fRb,,2022-08-07T02:08:35.620Z,420,420,0,0
"Josh",-PbnDssQ9T,2022-08-07T03:59:45.455Z,,300,,591,291
