player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"Shane C",1oVGfSuLrX,2022-08-18T01:45:33.161Z,2022-08-18T02:43:10.202Z,300,285,0,-15
"Josh",CPoWyK5p8J,2022-08-18T01:45:33.159Z,,300,,356,56
"sean",nIjE5tklyI,2022-08-18T01:45:33.155Z,,420,,379,-41
